,final_cleaned_text,sentiment_polarity,sentiment
0,program mbg bagus tapi g nya engga there is always a price to pay,0.7,positif
1,pemkab morowali alokasikan apbd rp milyar untuk program mbg,0.0,netral
2,program mbg emang niat yg bagus tp implementasinya kurang tepat baik dr segi target pasar maupun waktunya ayo kritik bersamasama agar program ini disempurnakan terus,0.22499999999999998,positif
3,foodfess kirain menu mbg,0.0,netral
4,tugas wakil lurah sebelumnya anteng tugas wakil lurah sekarang spesialis bagi sembako cek mbg plus bagi susu coz he like dunia persyusyu an ya allahgini amaatt yak si level internasional,-0.041666666666666664,negatif
5,kompascom mbg utama yg paling utama,0.45,positif
6,ini mbg programnya buat anak sekolah yg katanya biar fokus belajar sekaligus cegah stunting tp pendidikan sm kesehatan cuma jd prioritas pendukung itu gmn ceritanya wkwkwkwkwk,0.15,positif
7,kepala bgn upayakan modal mbg tak pakai sistem reimburse lagi serene perfectliners pengantiniblis giselletoxic abidzar,0.0,netral
8,twillightloid inilah yang membuat jumlah dapur mbg masih sedikit berharap umkm yang jadi dapur butuh modal kerja tidak sedikit karena pemerintah bayarnya tidak mungkin harian,-0.125,negatif
9,kemarin ngobrol dgn saudaraku yg megang resto mbg ini untuk level umkm tapi karena pembayarannya mundur minggu maka pengusahanya harus punya modal jt margin yg tipis tapi dengan resiko yg besar wajar banyak yg akhirnya ngga sanggup,0.13999999999999999,positif
10,pak mbg bisa dihapus aja kok kalo nyatanya ga bagus gausah gengsi wkwk,-0.21666666666666665,negatif
11,tidak mencerminkan program mbg,0.0,netral
12,kepala bgn upayakan mbg tak pakai sistem reimburse lagi,0.0,netral
13,prioritas utama mbg,0.16666666666666666,positif
14,mungkin iya seharusnya mbg di tahan dulu untuk beberapa waktu karena saat dilakukan program ini masih ada kekurangan fasilitas untuk support mbg ini seperti banyak yang pekerja dapur mundur karena terlalu berat kualitas makanan dan secara ekonomi masih kurang bagus,-0.012499999999999997,negatif
15,sudah buat key jobs responsibility pak listyosigitp mbg bukan kjr isilop,0.0,netral
16,komisi fatwa mui soal usul nyeleneh serangga jadi menu mbg selain belalang haram,-0.05,negatif
17,china lagi dan lagi dan lagi sementara kita masih ribut mbg,0.0,netral
