conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;;
1885115355770802280,Thu Jan 30 23:58:19 +0000 2025,0,Program MBG bagus tapi G nya engga. There is always a price to pay! ,1885115355770802280,,,in,,0,0,0,https://x.com/undefined/status/1885115355770802280,1827898499608018946,;;;;;
1885115058948366537,Thu Jan 30 23:57:08 +0000 2025,0,Pemkab Morowali Alokasikan APBD Rp124 Milyar untuk Program MBG https://t.co/IndcuURAlP,1885115058948366537,,,in,,0,0,0,https://x.com/undefined/status/1885115058948366537,1548631251111751680,;;;;;
1885114280644927703,Thu Jan 30 23:54:02 +0000 2025,0,Program MBG emang niat yg bagus. Tp implementasinya kurang tepat baik dr segi target pasar maupun waktunya. Ayo kritik bersama-sama agar program ini disempurnakan terus!,1885114280644927703,,,in,,0,0,0,https://x.com/undefined/status/1885114280644927703,1438366254884999168,;;;;;
1884953522241728645,Thu Jan 30 23:53:58 +0000 2025,0,@achichuuuu @FOODFESS2 kirain menu mbg..,1885114260965232682,,achichuuuu,in,,0,0,0,https://x.com/undefined/status/1885114260965232682,380811231,;;;;;
1885113874330079591,Thu Jan 30 23:52:26 +0000 2025,4,Tugas wakil lurah sebelumnya : anteng Tugas wakil lurah sekarang : spesialis bagi2 sembako cek MBG plus bagi2 susu coz he like dunia per-syusyu an Ya Allah....gini amaatt yak si level internasional ,1885113874330079591,,,in,,0,0,2,https://x.com/undefined/status/1885113874330079591,1428002673815482369,;;;;;
1884858533885382769,Thu Jan 30 23:49:43 +0000 2025,0,@kompascom MBG utama yg paling utama,1885113190641786885,,kompascom,in,,0,0,0,https://x.com/undefined/status/1885113190641786885,1266350736108994561,;;;;;
1885112900203012331,Thu Jan 30 23:48:33 +0000 2025,0,Ini mbg programnya buat anak sekolah yg katanya biar fokus belajar sekaligus cegah stunting tp pendidikan sm kesehatan cuma jd prioritas pendukung itu gmn ceritanya wkwkwkwkwk,1885112900203012331,,,in,,0,0,0,https://x.com/undefined/status/1885112900203012331,1101676438183337984,;;;;;
1885112727414464615,Thu Jan 30 23:47:52 +0000 2025,0,Kepala BGN Upayakan Modal MBG Tak Pakai Sistem Reimburse Lagi Serene #Perfect10Liners #pengantiniblis #GISELLE_TOXIC Abidzar https://t.co/2HqkUaIIAP,1885112727414464615,https://pbs.twimg.com/media/GilD8haa4AAAsQX.png,,in,,0,0,0,https://x.com/undefined/status/1885112727414464615,1571660366115131392,;;;;;
1884907967017075182,Thu Jan 30 23:45:53 +0000 2025,1,@Twillight_Loid Inilah yang membuat jumlah dapur MBG masih sedikit. Berharap UMKM yang jadi dapur butuh modal kerja tidak sedikit karena pemerintah bayarnya tidak mungkin harian,1885112228770455907,,Twillight_Loid,in,,0,0,0,https://x.com/undefined/status/1885112228770455907,238953843,;;;;;
1884975757136683409,Thu Jan 30 23:38:58 +0000 2025,1,@gloriahermawan @ArgentianaA Kemarin ngobrol2 dgn saudaraku yg megang resto. MBG ini untuk level UMKM tapi karena pembayarannya mundur 3-4 minggu maka pengusahanya harus punya modal 300-400jt. Margin yg tipis tapi dengan resiko yg besar. Wajar banyak yg akhirnya ngga sanggup,1885110487714849023,,gloriahermawan,in,,0,0,1,https://x.com/undefined/status/1885110487714849023,77711690,;;;;;
